Commodity,Date,Unit,Minimum,Maximum,Average
Neuro,6/11/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brocauli,6/11/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Sugarbeet,6/11/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Drumstick,6/11/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Red Cabbbage,6/11/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Lettuce,6/11/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Celery,6/11/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Parseley,6/11/2024,KG,Rs 250.00,Rs 280.00,Rs 263.33
Mint,6/11/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Turnip A,6/11/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Tamarind,6/11/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Bamboo Shoot,6/11/2024,KG,Rs 100.00,Rs 110.00,Rs 105.00
Tofu,6/11/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,6/11/2024,KG,Rs 250.00,Rs 300.00,Rs 276.67
Apple(Fuji),6/11/2024,KG,Rs 300.00,Rs 320.00,Rs 310.00
Banana,6/11/2024,Per Dozen,Rs 130.00,Rs 140.00,Rs 135.00
Lime,6/11/2024,KG,Rs 220.00,Rs 260.00,Rs 240.00
Pomegranate,6/11/2024,KG,Rs 350.00,Rs 400.00,Rs 376.67
Mango(Maldah),6/11/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Mango(Dushari),6/11/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Water Melon(Green),6/11/2024,KG,Rs 40.00,Rs 45.00,Rs 42.33
Mandarin,6/11/2024,KG,Rs 250.00,Rs 280.00,Rs 263.33
Pineapple,6/11/2024,1 Pc,Rs 160.00,Rs 180.00,Rs 170.00
Cucumber(Local),6/11/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Cucumber(Hybrid),6/11/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Jack Fruit,6/11/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pear(Chinese),6/11/2024,KG,Rs 220.00,Rs 250.00,Rs 233.33
Papaya(Indian),6/11/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Litchi(Local),6/11/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Litchi(Indian),6/11/2024,KG,Rs 250.00,Rs 280.00,Rs 263.33
Kiwi,6/11/2024,KG,Rs 550.00,Rs 600.00,Rs 576.67
Avocado,6/11/2024,KG,Rs 550.00,Rs 600.00,Rs 576.67
Ginger,6/11/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Chilli Dry,6/11/2024,KG,Rs 400.00,Rs 450.00,Rs 426.67
Chilli Green,6/11/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Bullet),6/11/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Machhe),6/11/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Capsicum,6/11/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Garlic Green,6/11/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Coriander Green,6/11/2024,KG,Rs 300.00,Rs 350.00,Rs 326.67
Garlic Dry Chinese,6/11/2024,KG,Rs 220.00,Rs 250.00,Rs 233.33
Garlic Dry Nepali,6/11/2024,KG,Rs 180.00,Rs 220.00,Rs 200.00
