Commodity,Date,Unit,Minimum,Maximum,Average
Turnip A,1/31/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,1/31/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,1/31/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,1/31/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,1/31/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),1/31/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Banana,1/31/2024,Per Dozen,Rs 120.00,Rs 140.00,Rs 130.00
Lime,1/31/2024,KG,Rs 200.00,Rs 250.00,Rs 225.00
Pomegranate,1/31/2024,KG,Rs 280.00,Rs 300.00,Rs 293.33
Grapes(Green),1/31/2024,KG,Rs 150.00,Rs 180.00,Rs 165.00
Grapes(Black),1/31/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Orange(Nepali),1/31/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Orange(Indian),1/31/2024,KG,Rs 110.00,Rs 120.00,Rs 116.67
Water Melon(Green),1/31/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Sweet Orange,1/31/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Mandarin,1/31/2024,KG,Rs 240.00,Rs 250.00,Rs 245.00
Pineapple,1/31/2024,1 Pc,Rs 150.00,Rs 180.00,Rs 170.00
Cucumber(Local),1/31/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Cucumber(Hybrid),1/31/2024,KG,Rs 60.00,Rs 70.00,Rs 63.33
Jack Fruit,1/31/2024,KG,Rs 130.00,Rs 140.00,Rs 136.67
Lemon,1/31/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pear(Chinese),1/31/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),1/31/2024,KG,Rs 70.00,Rs 80.00,Rs 73.33
Papaya(Indian),1/31/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Guava,1/31/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mombin,1/31/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Kinnow,1/31/2024,KG,Rs 70.00,Rs 90.00,Rs 80.00
Strawberry,1/31/2024,KG,Rs 300.00,Rs 400.00,Rs 350.00
Kiwi,1/31/2024,KG,Rs 350.00,Rs 450.00,Rs 400.00
Avocado,1/31/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Amla,1/31/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Ginger,1/31/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Chilli Dry,1/31/2024,KG,Rs 480.00,Rs 500.00,Rs 493.33
Chilli Green,1/31/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Chilli Green(Bullet),1/31/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Chilli Green(Machhe),1/31/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Capsicum,1/31/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Garlic Green,1/31/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Coriander Green,1/31/2024,KG,Rs 120.00,Rs 150.00,Rs 135.00
Garlic Dry Chinese,1/31/2024,KG,Rs 260.00,Rs 280.00,Rs 270.00
Clive Dry,1/31/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Clive Green,1/31/2024,KG,Rs 120.00,Rs 150.00,Rs 135.00
Fish Fresh(Rahu),1/31/2024,KG,Rs 350.00,Rs 370.00,Rs 360.00
Fish Fresh(Bachuwa),1/31/2024,KG,Rs 260.00,Rs 280.00,Rs 270.00
Fish Fresh(Chhadi),1/31/2024,KG,Rs 240.00,Rs 280.00,Rs 260.00
Fish Fresh(Mungari),1/31/2024,KG,Rs 300.00,Rs 320.00,Rs 310.00
Tree Tomato,1/31/2024,Kg,Rs 120.00,Rs 150.00,Rs 135.00
Tomato Big(Nepali),1/30/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Big(Indian),1/30/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Tomato Small(Local),1/30/2024,KG,Rs 30.00,Rs 35.00,Rs 32.50
Tomato Small(Indian),1/30/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Tomato Small(Terai),1/30/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Potato Red,1/30/2024,KG,Rs 28.00,Rs 30.00,Rs 29.00
Potato Red(Indian),1/30/2024,KG,Rs 28.00,Rs 30.00,Rs 29.00
Onion Dry (Indian),1/30/2024,KG,Rs 70.00,Rs 75.00,Rs 72.50
Carrot(Local),1/30/2024,KG,Rs 35.00,Rs 40.00,Rs 38.00
Carrot(Terai),1/30/2024,KG,Rs 25.00,Rs 30.00,Rs 28.33
Cabbage(Local),1/30/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cabbage,1/30/2024,KG,Rs 25.00,Rs 35.00,Rs 30.00
Cauli Local,1/30/2024,KG,Rs 45.00,Rs 55.00,Rs 50.00
Cauli Local(Jyapu),1/30/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cauli Terai,1/30/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Raddish Red,1/30/2024,KG,Rs 15.00,Rs 20.00,Rs 18.33
Raddish White(Local),1/30/2024,KG,Rs 15.00,Rs 20.00,Rs 17.50
Raddish White(Hybrid),1/30/2024,KG,Rs 20.00,Rs 25.00,Rs 22.50
Brinjal Long,1/30/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Green Peas,1/30/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
French Bean(Local),1/30/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Hybrid),1/30/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Rajma),1/30/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Sword Bean,1/30/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Bitter Gourd,1/30/2024,KG,Rs 120.00,Rs 140.00,Rs 127.50
Pointed Gourd(Terai),1/30/2024,KG,Rs 250.00,Rs 260.00,Rs 255.00
Pumpkin,1/30/2024,KG,Rs 45.00,Rs 55.00,Rs 50.00
Squash(Long),1/30/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Squash(Round),1/30/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Turnip,1/30/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,1/30/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Sweet Potato,1/30/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Barela,1/30/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Arum,1/30/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Christophine,1/30/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Brd Leaf Mustard,1/30/2024,KG,Rs 40.00,Rs 50.00,Rs 43.33
Spinach Leaf,1/30/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Cress Leaf,1/30/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mustard Leaf,1/30/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Fenugreek Leaf,1/30/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Onion Green,1/30/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Bakula,1/30/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Yam,1/30/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Mushroom(Kanya),1/30/2024,KG,Rs 160.00,Rs 200.00,Rs 180.00
Mushroom(Button),1/30/2024,KG,Rs 400.00,Rs 450.00,Rs 425.00
Asparagus,1/30/2024,KG,"Rs 1,800.00","Rs 2,000.00","Rs 1,900.00"
Brocauli,1/30/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Sugarbeet,1/30/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Red Cabbbage,1/30/2024,KG,Rs 60.00,Rs 80.00,Rs 70.00
Lettuce,1/30/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Knolkhol,1/30/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Celery,1/30/2024,KG,Rs 80.00,Rs 100.00,Rs 90.00
Parseley,1/30/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Fennel Leaf,1/30/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mint,1/30/2024,KG,Rs 300.00,Rs 320.00,Rs 310.00
Turnip A,1/30/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,1/30/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,1/30/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,1/30/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,1/30/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),1/30/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Banana,1/30/2024,Per Dozen,Rs 120.00,Rs 140.00,Rs 130.00
Lime,1/30/2024,KG,Rs 170.00,Rs 200.00,Rs 188.00
Pomegranate,1/30/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Grapes(Green),1/30/2024,KG,Rs 150.00,Rs 180.00,Rs 165.00
Grapes(Black),1/30/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Orange(Nepali),1/30/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Orange(Indian),1/30/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Water Melon(Green),1/30/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Sweet Orange,1/30/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mandarin,1/30/2024,KG,Rs 250.00,Rs 260.00,Rs 255.00
Pineapple,1/30/2024,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),1/30/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Cucumber(Hybrid),1/30/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Jack Fruit,1/30/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Lemon,1/30/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pear(Chinese),1/30/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Papaya(Nepali),1/30/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Papaya(Indian),1/30/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Guava,1/30/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mombin,1/30/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Kinnow,1/30/2024,KG,Rs 80.00,Rs 90.00,Rs 83.33
Strawberry,1/30/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Kiwi,1/30/2024,KG,Rs 350.00,Rs 400.00,Rs 375.00
Avocado,1/30/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Amla,1/30/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Ginger,1/30/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Chilli Dry,1/30/2024,KG,Rs 480.00,Rs 500.00,Rs 490.00
Chilli Green,1/30/2024,KG,Rs 60.00,Rs 70.00,Rs 66.00
Chilli Green(Bullet),1/30/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Machhe),1/30/2024,KG,Rs 60.00,Rs 80.00,Rs 70.00
Capsicum,1/30/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Garlic Green,1/30/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Coriander Green,1/30/2024,KG,Rs 120.00,Rs 150.00,Rs 135.00
Garlic Dry Chinese,1/30/2024,KG,Rs 250.00,Rs 270.00,Rs 260.00
Garlic Dry Nepali,1/30/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Clive Dry,1/30/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Clive Green,1/30/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Fish Fresh(Rahu),1/30/2024,KG,Rs 350.00,Rs 370.00,Rs 360.00
Fish Fresh(Bachuwa),1/30/2024,KG,Rs 260.00,Rs 280.00,Rs 270.00
Fish Fresh(Chhadi),1/30/2024,KG,Rs 240.00,Rs 280.00,Rs 260.00
Fish Fresh(Mungari),1/30/2024,KG,Rs 300.00,Rs 320.00,Rs 310.00
Tree Tomato,1/30/2024,Kg,Rs 120.00,Rs 130.00,Rs 125.00
Tomato Big(Nepali),1/29/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Big(Indian),1/29/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Tomato Small(Local),1/29/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Tomato Small(Terai),1/29/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Potato Red,1/29/2024,KG,Rs 30.00,Rs 32.00,Rs 31.00
Potato Red(Indian),1/29/2024,KG,Rs 28.00,Rs 30.00,Rs 29.00
Onion Dry (Indian),1/29/2024,KG,Rs 70.00,Rs 75.00,Rs 72.50
Carrot(Local),1/29/2024,KG,Rs 35.00,Rs 40.00,Rs 38.33
Carrot(Terai),1/29/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Cabbage(Local),1/29/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cabbage,1/29/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Cauli Local,1/29/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local(Jyapu),1/29/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Terai,1/29/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Raddish Red,1/29/2024,KG,Rs 15.00,Rs 20.00,Rs 18.33
Raddish White(Local),1/29/2024,KG,Rs 15.00,Rs 20.00,Rs 17.50
Raddish White(Hybrid),1/29/2024,KG,Rs 20.00,Rs 25.00,Rs 23.33
Brinjal Long,1/29/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Green Peas,1/29/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
French Bean(Local),1/29/2024,KG,Rs 70.00,Rs 80.00,Rs 76.00
French Bean(Hybrid),1/29/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Rajma),1/29/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Sword Bean,1/29/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Bitter Gourd,1/29/2024,KG,Rs 130.00,Rs 150.00,Rs 140.00
Bottle Gourd,1/29/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pointed Gourd(Terai),1/29/2024,KG,Rs 250.00,Rs 260.00,Rs 256.67
Smooth Gourd,1/29/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Pumpkin,1/29/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Squash(Long),1/29/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Squash(Round),1/29/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Turnip,1/29/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,1/29/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Sweet Potato,1/29/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Barela,1/29/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Arum,1/29/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Christophine,1/29/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Brd Leaf Mustard,1/29/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Spinach Leaf,1/29/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Cress Leaf,1/29/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mustard Leaf,1/29/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Fenugreek Leaf,1/29/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Onion Green,1/29/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Bakula,1/29/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Yam,1/29/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Mushroom(Kanya),1/29/2024,KG,Rs 160.00,Rs 200.00,Rs 180.00
Mushroom(Button),1/29/2024,KG,Rs 370.00,Rs 430.00,Rs 402.00
Brocauli,1/29/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Sugarbeet,1/29/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Drumstick,1/29/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Red Cabbbage,1/29/2024,KG,Rs 50.00,Rs 70.00,Rs 60.00
Lettuce,1/29/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Knolkhol,1/29/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Celery,1/29/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Parseley,1/29/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Fennel Leaf,1/29/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mint,1/29/2024,KG,Rs 320.00,Rs 350.00,Rs 335.00
Turnip A,1/29/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,1/29/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,1/29/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,1/29/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,1/29/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),1/29/2024,KG,Rs 300.00,Rs 330.00,Rs 315.00
Banana,1/29/2024,Per Dozen,Rs 120.00,Rs 140.00,Rs 130.00
Lime,1/29/2024,KG,Rs 180.00,Rs 220.00,Rs 200.00
Pomegranate,1/29/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Grapes(Green),1/29/2024,KG,Rs 150.00,Rs 180.00,Rs 165.00
Grapes(Black),1/29/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Orange(Nepali),1/29/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Water Melon(Green),1/29/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Sweet Orange,1/29/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Mandarin,1/29/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Pineapple,1/29/2024,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),1/29/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Cucumber(Hybrid),1/29/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Jack Fruit,1/29/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Lemon,1/29/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pear(Chinese),1/29/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),1/29/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Papaya(Indian),1/29/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Guava,1/29/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mombin,1/29/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Kinnow,1/29/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Strawberry,1/29/2024,KG,Rs 300.00,Rs 400.00,Rs 350.00
Kiwi,1/29/2024,KG,Rs 300.00,Rs 400.00,Rs 350.00
Sarifa,1/29/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Avocado,1/29/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Amla,1/29/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Ginger,1/29/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Chilli Dry,1/29/2024,KG,Rs 480.00,Rs 500.00,Rs 490.00
Chilli Green,1/29/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Chilli Green(Bullet),1/29/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Chilli Green(Machhe),1/29/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Capsicum,1/29/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Garlic Green,1/29/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Coriander Green,1/29/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Garlic Dry Chinese,1/29/2024,KG,Rs 250.00,Rs 260.00,Rs 255.00
Garlic Dry Nepali,1/29/2024,KG,Rs 260.00,Rs 280.00,Rs 270.00
Clive Dry,1/29/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Clive Green,1/29/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Fish Fresh(Rahu),1/29/2024,KG,Rs 350.00,Rs 370.00,Rs 360.00
Fish Fresh(Bachuwa),1/29/2024,KG,Rs 260.00,Rs 270.00,Rs 265.00
Fish Fresh(Chhadi),1/29/2024,KG,Rs 240.00,Rs 280.00,Rs 260.00
Fish Fresh(Mungari),1/29/2024,KG,Rs 300.00,Rs 320.00,Rs 310.00
Tree Tomato,1/29/2024,Kg,Rs 120.00,Rs 130.00,Rs 125.00
Tomato Big(Nepali),1/28/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Big(Indian),1/28/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),1/28/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Tomato Small(Tunnel),1/28/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Tomato Small(Indian),1/28/2024,KG,Rs 30.00,Rs 35.00,Rs 32.50
Tomato Small(Terai),1/28/2024,KG,Rs 35.00,Rs 45.00,Rs 41.00
Potato Red,1/28/2024,KG,Rs 30.00,Rs 33.00,Rs 31.50
Potato Red(Indian),1/28/2024,KG,Rs 28.00,Rs 30.00,Rs 29.00
Onion Dry (Indian),1/28/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Carrot(Local),1/28/2024,KG,Rs 35.00,Rs 40.00,Rs 37.50
Carrot(Terai),1/28/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Cabbage(Local),1/28/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cabbage(Terai),1/28/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Cauli Local,1/28/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local(Jyapu),1/28/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Terai,1/28/2024,KG,Rs 40.00,Rs 45.00,Rs 42.50
Raddish Red,1/28/2024,KG,Rs 15.00,Rs 20.00,Rs 18.33
Raddish White(Local),1/28/2024,KG,Rs 10.00,Rs 15.00,Rs 13.33
Raddish White(Hybrid),1/28/2024,KG,Rs 15.00,Rs 20.00,Rs 18.33
Brinjal Long,1/28/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Green Peas,1/28/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
French Bean(Local),1/28/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Hybrid),1/28/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Rajma),1/28/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Sword Bean,1/28/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Bitter Gourd,1/28/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Bottle Gourd,1/28/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Pointed Gourd(Terai),1/28/2024,KG,Rs 260.00,Rs 280.00,Rs 270.00
Smooth Gourd,1/28/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Pumpkin,1/28/2024,KG,Rs 45.00,Rs 50.00,Rs 48.33
Squash(Long),1/28/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Squash(Round),1/28/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Turnip,1/28/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,1/28/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Sweet Potato,1/28/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Barela,1/28/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Arum,1/28/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Christophine,1/28/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Brd Leaf Mustard,1/28/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Spinach Leaf,1/28/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Cress Leaf,1/28/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mustard Leaf,1/28/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Fenugreek Leaf,1/28/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Onion Green,1/28/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Bakula,1/28/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Yam,1/28/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Mushroom(Kanya),1/28/2024,KG,Rs 150.00,Rs 180.00,Rs 165.00
Mushroom(Button),1/28/2024,KG,Rs 350.00,Rs 400.00,Rs 375.00
Asparagus,1/28/2024,KG,"Rs 1,800.00","Rs 2,000.00","Rs 1,900.00"
Brocauli,1/28/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Sugarbeet,1/28/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Drumstick,1/28/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Red Cabbbage,1/28/2024,KG,Rs 50.00,Rs 70.00,Rs 60.00
Lettuce,1/28/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Knolkhol,1/28/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Celery,1/28/2024,KG,Rs 100.00,Rs 120.00,Rs 113.33
Parseley,1/28/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Fennel Leaf,1/28/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mint,1/28/2024,KG,Rs 320.00,Rs 350.00,Rs 335.00
Turnip A,1/28/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,1/28/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,1/28/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,1/28/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,1/28/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),1/28/2024,KG,Rs 300.00,Rs 330.00,Rs 315.00
Banana,1/28/2024,Per Dozen,Rs 120.00,Rs 140.00,Rs 130.00
Lime,1/28/2024,KG,Rs 200.00,Rs 250.00,Rs 225.00
Pomegranate,1/28/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Grapes(Green),1/28/2024,KG,Rs 150.00,Rs 180.00,Rs 165.00
Grapes(Black),1/28/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Orange(Nepali),1/28/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Water Melon(Green),1/28/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Sweet Orange,1/28/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mandarin,1/28/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Pineapple,1/28/2024,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),1/28/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Cucumber(Hybrid),1/28/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Jack Fruit,1/28/2024,KG,Rs 110.00,Rs 130.00,Rs 120.00
